臺南市政府103年度對議員所提地方建設建議事項處理明細表,,,,,,,,,,
至103年12月止,,,,,,,,,,
表4,           (本表為半年報),,,,,,,單位：千元,,
"議員
姓名",建議項目及內容,"建議
地點","建議
金額",核定情形,,,,,,
,,,,"核定
金額",經費支用科目,主辦機關,招標方式,得標廠商,,
 陳朝來 ,十份里金德豐漁產道路改善工程, 七股區 ,"2,376 ",560 ,漁業建設, 農業局 , 公開招標 ,吉田土木包工業,,1
 王峻潭 ,大內區曲溪里玉峯高分1右26右6農路改善工程, 大內區 ,805 ,805 ,農業工程及農路改善, 農業局 , 公開招標 ,永大土木包工業,,1
 侯澄財 ,學甲區三慶里新芳部落農路改善工程, 學甲區 ,"2,000 ",600 ,農業工程及農路改善, 農業局 , 公開招標 ,佳霖土木包工業,,1
 曾王雅雲 ,龍船里苦苓湖農路排水改善工程, 龍崎區 ,426 ,426 ,農業工程及農路改善, 農業局 , 公開招標 ,聯宏土木包工業,,1
 王峻潭 ,103-鹿田鹿陶洋段農路改善工程, 楠西區 ,987 ,261 ,農業工程及農路改善, 農業局 , 公開取得 ,佑吉營造有限公司,,1
 林慶鎮 ,新市區潭頂里871-3地號前道路改善工程, 新市區 ,"2,000 ","1,316 ",農業工程及農路改善, 農業局 , 公開招標 ,聯豐土木包工業,,1
 郭信良 ,安南區淵東里本原街三段234巷106弄農路改善工程, 安南區 ,192 ,157 ,農業工程及農路改善, 農業局 , 公開取得 ,騰泰土木包工業,,1
 蔡蘇秋金 ,城內里（水師寮）道路改善工程, 七股區 ,864 ,524 ,農業工程及農路改善, 農業局 , 公開招標 ,宏泰吉營造有限公司,,1
 林全忠 ,大內區二溪里走馬瀨方向(其瓦高幹102)農路改善工程, 大內區 ,234 ,234 ,農業工程及農路改善, 農業局 , 公開招標 ,永大土木包工業,,1
 王峻潭 ,103－龜丹埔頭農路改善工程, 楠西區 ,505 ,170 ,農業工程及農路改善, 農業局 , 公開取得 ,佑吉營造有限公司,,1
 林宜瑾 ,新化區礁坑里礁坑橋旁野溪排水改善工程, 新化區 ,"2,012 ","1,790 ",水利工程, 水利局 , 公開招標 ,凌暘營造有限公司,,1
 張伯祿 ,關廟區新光里新埔段422、423地號排水改善工程, 關廟區 ,315 ,315 ,水利工程, 水利局 , 公開招標 ,聯宏土木包工業,,1
 張伯祿 ,龍崎區崎頂里龍崎農會旁崩塌地處理延續工程, 龍崎區 ,360 ,300 ,水利工程, 水利局 , 公開招標 ,佳泰土木包工業,,1
